name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Heine Lorenzen, Jorge",Eduardo Frei,1994-03-11,2000-03-11,Bienes Nacionales,1999-04-13,1999-08-13,122,50,1999,0,1,0,0,1,0,0
"Ravinet de La Fuente, Jaime",Ricardo Lagos,2000-03-11,2006-03-11,Bienes Nacionales,2000-12-29,2004-10-01,1372,54,2000,0,3,1,0,1,1,0
"Delpiano Puelma, Adriana",Eduardo Frei,1994-03-11,2000-03-11,Bienes Nacionales,1994-03-11,1999-04-13,1859,47,1994,1,0,0,0,0,0,0
"Schmidt Crnosija, Romy",Michelle Bachelet,2006-03-11,2010-03-11,Bienes Nacionales,2006-03-11,2010-01-06,1397,40,2006,1,2,0,0,1,1,0
"Tschorne Berestesky, Sonia",Ricardo Lagos,2000-03-11,2006-03-11,Bienes Nacionales,2004-09-29,2006-03-11,528,49,2004,1,1,1,0,0,0,0
"Weinstein Levy, Jacqueline",Michelle Bachelet,2006-03-11,2010-03-11,Bienes Nacionales,2010-01-06,2010-03-11,64,61,2010,1,2,0,0,1,1,0
"Jadresic Marinovic, Alejandro",Eduardo Frei,1994-03-11,2000-03-11,Comisión Nacional de Energía,1994-03-11,1998-01-01,1392,37,1994,0,2,0,0,1,1,0
"Landerretche Gacitúa, Óscar",Eduardo Frei,1994-03-11,2000-03-11,Comisión Nacional de Energía,1998-11-24,2000-03-11,473,49,1998,0,1,1,0,0,0,0
"Leiva Lavalle, Jorge",Eduardo Frei,1994-03-11,2000-03-11,Comisión Nacional de Energía,1998-08-04,1998-11-24,112,59,1998,0,0,0,0,0,0,0
"Rodríguez Grossi, Jorge",Ricardo Lagos,2000-03-11,2006-03-11,Comisión Nacional de Energía,2001-06-19,2006-03-11,1726,53,2001,0,2,1,0,0,0,1
"Tokman Ramos, Marcelo",Michelle Bachelet,2006-03-11,2010-03-11,Comisión Nacional de Energía,2007-03-26,2010-03-11,1081,39,2007,0,2,0,0,1,1,0
